1,A,Norway,Switzerland
1,B,Canada,Australia
1,C,Spain,Japan
1,D,England,Denmark
1,E,USA,Portugal
1,F,France,Brazil
1,G,Sweden,Argentina
1,H,Colombia,South Korea
2,A,Norway,Switzerland
2,B,Australia,Ireland
2,C,Japan,Spain
2,D,England,China
2,E,USA,Netherlands
2,F,Brazil,France
2,G,Sweden,Italy
2,H,Germany,South Korea
3,A,Norway,New Zealand
3,B,Australia,Canada
3,C,Japan,Spain
3,D,England,China
3,E,USA,Netherlands
3,F,Brazil,France
3,G,Sweden,Italy
3,H,Germany,South Korea
4,A,New Zealand,Norway
4,B,Australia,Canada
4,C,Spain,Japan
4,D,England,Denmark
4,E,Netherlands,USA
4,F,Brazil,France
4,G,Sweden,Italy
4,H,Germany,Colombia
5,A,Norway,Switzerland
5,B,Australia,Canada
5,C,Japan,Spain
5,D,China,England
5,E,USA,Netherlands
5,F,France,Brazil
5,G,Italy,Sweden
5,H,Colombia,Germany
6,A,Norway,Switzerland
6,B,Australia,Canada
6,C,Japan,Spain
6,D,England,Denmark
6,E,USA,Netherlands
6,F,France,Brazil
6,G,Sweden,Argentina
6,H,Colombia,Germany
7,A,Norway,Switzerland
7,B,Canada,Australia
7,C,Spain,Japan
7,D,England,China
7,E,Netherlands,USA
7,F,France,Brazil
7,G,Sweden,Italy
7,H,Germany,South Korea
8,A,Norway,New Zealand
8,B,Australia,Canada
8,C,Spain,Japan
8,D,England,China
8,E,Netherlands,USA
8,F,France,Jamaica
8,G,Sweden,Argentina
8,H,Germany,Colombia
9,A,Switzerland,Norway
9,B,Canada,Australia
9,C,Japan,Spain
9,D,England,Denmark
9,E,USA,Netherlands
9,F,Brazil,France
9,G,Sweden,Italy
9,H,Germany,Colombia
10,A,Norway,Switzerland
10,B,Canada,Australia
10,C,Spain,Japan
10,D,England,Denmark
10,E,USA,Netherlands
10,F,France,Brazil
10,G,Sweden,Argentina
10,H,Germany,Colombia
11,A,New Zealand,Norway
11,B,Australia,Canada
11,C,Spain,Japan
11,D,China,England
11,E,Netherlands,USA
11,F,France,Brazil
11,G,Sweden,Italy
11,H,Germany,South Korea
12,A,Norway,Switzerland
12,B,Canada,Australia
12,C,Japan,Spain
12,D,England,China
12,E,USA,Netherlands
12,F,Brazil,France
12,G,Sweden,Italy
12,H,Germany,Colombia
13,A,Norway,Philippines
13,B,Canada,Australia
13,C,Spain,Japan
13,D,China,England
13,E,USA,Netherlands
13,F,France,Brazil
13,G,Sweden,Argentina
13,H,Germany,Colombia
14,A,Norway,New Zealand
14,B,Australia,Canada
14,C,Japan,Spain
14,D,England,China
14,E,USA,Portugal
14,F,Brazil,France
14,G,Sweden,Italy
14,H,Germany,Colombia
15,A,Norway,Switzerland
15,B,Australia,Canada
15,C,Spain,Japan
15,D,England,China
15,E,USA,Netherlands
15,F,Brazil,France
15,G,Sweden,Italy
15,H,Germany,South Korea
16,A,Norway,New Zealand
16,B,Canada,Australia
16,C,Japan,Spain
16,D,England,China
16,E,USA,Netherlands
16,F,Brazil,France
16,G,Sweden,Italy
16,H,Colombia,Germany
17,A,Norway,New Zealand
17,B,Ireland,Canada
17,C,Japan,Spain
